Academic Year|School Number|School Name|School Level|Elementary Male Enrolment|Elementary Female Enrolment|Secondary Male Enrolment|Secondary Female Enrolment|Total Male Enrolment|Total Female Enrolment
2018-2019|881662|Immigrants Working Centre - IWC Academy|Secondary|||<10|20|SP|20
2018-2019|884979|Imperial College of Toronto|Secondary|||10|<10|10|SP
2018-2019|884337|Inception Academy|Secondary|||10|10|10|10
2018-2019|665962|Infinity School|Elementary|15|<10|||15|SP
2018-2019|886638|Innocent Hearts Secondary School|Secondary|||40|30|40|30
2018-2019|667688|Innocent Hearts Secondary School (Miss)|Secondary|||<10|<10|SP|SP
2018-2019|667661|Innova Academy|Elem/Sec|40|40|<10|<10|SP|SP
2018-2019|880844|Insight Academy of Canada|Elem/Sec|10|<10|<10|<10|SP|SP
2018-2019|887642|Inspiration Private School - Markham|Secondary|||<10|<10|SP|SP
2018-2019|669893|Inspiration Private School - Oakville|Secondary|||<10||SP|
2018-2019|882222|Institute of Canadian Education|Secondary|||<10|<10|SP|SP
2018-2019|882483|Integral High School|Secondary|||<10|<10|SP|SP
2018-2019|876402|International School of Cambridge|Elementary|40|60|||40|60
2018-2019|877280|Intola Baptist Church|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|669130|Iqra Nejasni Islamic School|Elementary|15|10|||15|10
2018-2019|665419|Islamic Education Guidance Centre|Elementary|45|40|||45|40
2018-2019|876321|Islamic Foundation School|Elementary|230|250|||230|250
2018-2019|667492|Islamic Foundation School - Durham|Elementary|90|110|||90|110
2018-2019|883867|Islamic Institute Al-Rashid|Elem/Sec|75|20|95|<10|170|SP
2018-2019|880343|Islamic Institute of Toronto Academy|Elementary|125|100|||125|100
2018-2019|878375|Islamic School of Hamilton|Elementary|70|110|||70|110
2018-2019|666276|Issachar Christian Academy|Elementary|20|30|||20|30
2018-2019|666092|J Addison School|Elem/Sec|15|20|100|90|120|105
2018-2019|665073|JEI Learning Center|Elementary|40|35|||40|35
2018-2019|885297|JEI Learning Center - Greensborough|Elementary|25|15|||25|15
2018-2019|887635|JIC  School|Elementary|35|45|||35|45
2018-2019|887099|Jackman Institute of Child Study|Elementary|100|100|||100|100
2018-2019|886637|Jarvis District Christian School|Elementary|75|75|||75|75
2018-2019|886269|Jasper Academy|Secondary|||<10||SP|
2018-2019|669574|Jaya International High School|Secondary|||20|<10|20|SP
2018-2019|669996|Jehovah Jireh Christian School|Elementary|<10|<10|||SP|SP
2018-2019|886017|Joan of Arc Academy|Elementary||100||||100
2018-2019|885436|John Calvin Private School|Elementary|165|160|||165|160
2018-2019|885185|John Knox Christian|Elementary|90|100|||90|100
2018-2019|886785|John Knox Christian School|Elementary|70|85|||70|85
2018-2019|886564|John Knox Christian School|Elementary|180|155|||180|155
2018-2019|882992|Jordan Christian School|Elem/Sec|50|60|10|20|60|80
2018-2019|884480|Junior Academy, The|Elementary|55|20|||55|20
2018-2019|665070|K-W Montessori School Inc., The|Elementary|25|30|||25|30
2018-2019|887265|KCS Online Learning|Secondary|||<10||SP|
2018-2019|886258|KMSCHOOL|Elementary|20|15|||20|15
2018-2019|882944|KNB Learning|Elementary|<10|<10|||SP|SP
2018-2019|883736|Kaban Montessori School|Elementary|<10|<10|||SP|SP
2018-2019|877697|Kanata Academy|Elem/Sec|45|45|15|<10|60|SP
2018-2019|883130|Kanata Montessori High School|Secondary|||40|20|40|20
2018-2019|875104|Kanata Montessori Private School|Elementary|95|105|||95|105
2018-2019|876810|Kawartha Montessori|Elementary|55|45|||55|45
2018-2019|663905|Kawenni:io/Gaweni:yo High School|Elem/Sec|||<10|<10|SP|SP
2018-2019|884987|Kayla's Children Centre|Elem/Sec|45|25|<10||SP|25
2018-2019|663930|Keewaytinook Internet|Secondary|||100|110|100|110
2018-2019|878529|Kehila Jewish Community Day School|Elementary|10|10|||10|10
2018-2019|878588|Kempenfelt Bay School|Elementary|60|65|||60|65
